"Nicaragua","mixed years","4.68","3.72 (2012)","0.34 (2010)","0.16 (2010)","0.46 (2010)","7.7","Guns in Nicaragua"
"North Macedonia","mixed years","1.69","0.91 (2011)","0.63 (2010)","0.15 (2010)","0.00 (1997)","29.8","Guns in North Macedonia"
"Norway","2012","1.75","0.10","1.63","0.02","0.00 (2008)","31.3","Guns in Norway"
"Panama","mixed years","15.11","14.36 (2013)","0.57 (2009)","0.06 (2002)","0.12 (2009)","21.7","Guns in Panama"
"Paraguay","mixed years","7.76","5.78 (2013)","1.16 (2009)","0.30 (2009)","0.52 (2009)","17","Guns in Paraguay"
"Peru","mixed years","5.53","4.22 (2013)","0.07 (2009)","0.93 (2007)","0.31 (2007)","18.8","Guns in Peru"
"Philippines","?","8.90","8.90 (2003)","?","?","?","4.7","Guns in Philippines"
"Poland","2011","0.26","0.04","0.09","0.03","0.10","1.3","Guns in Poland"
"Portugal","mixed years","1.58","0.42 (2012)","1.01 (2011)","0.03 (2011)","0.12 (2011)","8.5","Guns in Portugal"
"Qatar","?","0.15","0.15 (2004)","?","?","?","19.2","Guns in Qatar"
"Romania","mixed years","0.14","0.04 (2012)","0.06 (2011)","0.04 (2011)","0.00 (2011)","0.7","Guns in Romania"
"Serbia","2012","3.49","0.61","2.49","0.14","0.29","37.82","Guns in Serbia"
"Singapore","mixed years","0.025","0.005 (1994-)","0.0165 (1994-)","0.003 (1994-)","0.00 (1994-)","0.5","Guns in Singapore"
"Slovakia","mixed years","1.83","0.26 (2012)","0.94 (2010)","0.39 (2010)","0.24 (2010)","8.3","Guns in Slovakia"
"Slovenia","mixed years","2.64","0.20 (2012)","2.34 (2010)","0.05 (2009)","0.05 (2010)","13.5","Guns in Slovenia"
"South Africa","2010","8.3","8.2","0.1","0.02 (1999)","0.11 (1999)","12.7","Guns in South Africa"
"South Korea","mixed years","0.08","0.02 (2011)","0.04 (2002)","0.01 (2002)","0.01 (2002)","1.1","Guns in South Korea"
"Spain","mixed years","0.62","0.15 (2010)","0.42 (2010)","0.05 (2010)","0.00 (2007)","10.4","Guns in Spain"
"Sweden","2015","1.60","0.32","1.23","0.03","0.03 (2014)","23.10 (2017)","Guns in Sweden"
"Switzerland","2013","3.01","0.16 (2017)","2.74","0.04","0.09","24.45 (2016)","Gun laws in Switzerland"
"Taiwan","mixed years","0.87","0.60 (2008)","0.12 (1994)","0.11 (1994)","0.04 (1994)","?","Guns in Taiwan"
"Turkey","mixed years","1.95","1.03 (2016)","0.81 (2013)","0.11 (2016)","0.01 (2016)","?","Mixed sources"
"Ukraine","2016","1.36","1.36 (2016)","?","?","","6.6","Guns in Ukraine"
"United Kingdom","2011","0.23","0.06","0.15","0.00","0.02","2.8","Guns in the United Kingdom"
"United States","2017","12.21","4.46","7.32","0.15","0.10","120.5","CDC WISQARS"
"Uruguay","mixed years","11.52","4.78 (2013)","4.68 (2009)","2.00 (2009)","0.06 (2009)","31.8","Guns in Uruguay"
"Venezuela","2013","49.22","26.48","0.14","22.34","22.93 (2009)","18.50 (2017)","Guns in Venezuela"
"Zimbabwe","mixed years","0.39","0.3 (2007)","0.09 (1995)","unavailable","unavailable","4.6","Guns in Zimbabwe"
"Country","Year","Total","Homicides","Suicides","Unintentional","Undetermined","Guns per 100 inhabitants","Sources and notes"
