Common Name,Name,CountryCode,NumberActors,MilFatalities,TotalFatalities,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,Region,Century,Decade,DurationD,DurationM,DurationY
,"France (Jews), 1403",,2,,,1403,,,1403,,,3,1,140,,,0
Ottoman Civil War,"Turkey, 1403-13",,2,,,1403,,,1413,,,4,1,140,,,10
,"Mongols (Timur)-Georgia, 1403",,2,,,1403,,,1403,,,4,1,140,,,0
,"China-Tartars (Liaoning), 1403",710,2,,,1403,3,,1403,3,,12,1,140,,0,0
,"China (Jiangxi), 1403",710,2,,,1403,4,,1403,4,,12,1,140,,0,0
,"Venice-Padua, Verona, Vicenze, 1404-05",,4,,,1404,,,1405,,,3,1,140,,,1
,"Swiss Confederation-Austria, 1404-08",,2,,,1404,,,1408,,,3,1,140,,,4
,"Denmark-Holstein, Hanse towns (from 1426), 1404-35",,3,,,1404,,,1435,,,3,1,140,,,31
,"France-Marinid Caliphate?(Morocco), 1404-05",,2,,,1404,,,1405,,,6,1,140,,,1
,"Ava-Arakan, 1404",,2,,,1404,,,1404,,,11,1,140,,,0
Conspiracy of Scrope,"England (York and Nottingham), 1405",,3,,300,1405,,,1405,6,,3,1,140,,,0
,"Lithuania-Russia, 1405",,2,,,1405,,,1405,,,4,1,140,,,0
,"Hungary (Sigismund)-Bosnia (Waldenses), 1405",,2,,,1405,,,1405,,,4,1,140,,,0
,"Naples-pope, Anjou, Florence, Siena, emperor, 1405-12",,6,,,1405,,,1412,,,3,1,140,,,7
,"France (Burgundian civil war), 1405-07",,2,,1440,1405,,,1407,,,3,1,140,,,2
,"Spain-Western Sahara (Cape Bogador), 1405",,2,,,1405,,,1405,,,6,1,140,,,0
,"China-Annam (Vietnam), 1405-28",,2,,,1405,,,1428,,,11,1,140,,,23
,"China (Yunnan), 1405",710,2,,,1405,,,1405,,,12,1,140,,,0
Russo-Lithuanian War with Vitoft?,"Muscovy-Poland, Lithuania, 1406-08",,3,,12800,1406,,,1408,,,4,1,140,,,2
Invasion of Edigey?,"Muscovy-Volga, Tartars, 1406-08",,3,,1200,1406,,,1408,,,4,1,140,,,2
,"Hungary (Sigismund)-Bosnia, 1406-09",,2,,,1406,,,1409,,,4,1,140,,,3
,"Castile-Granada, 1406-10",,2,,,1406,,,1410,,,3,1,140,,,4
,"Florence-Pisa, 1406",,2,,,1406,,,1406,,,3,1,140,,,0
,"France-England (Normandy), 1406",,2,,,1406,,,1406,,,3,1,140,,,0
,"Pegu-Ava (Burma), 1406-10",,2,,,1406,,,1410,,,11,1,140,,,4
,"Ava-Shan (Burma), 1406",,2,,,1406,,,1406,,,11,1,140,,,0
,"Bahmanis-Vijayanagar (India), 1406",,2,,,1406,,,1406,,,10,1,140,,,0
,"China (Henan), 1406",710,2,,,1406,1,,1406,1,,12,1,140,,0,0
,"China (Yunnan), 1406-07",710,2,,,1406,1,,1407,6,,12,1,140,,17,1
,"China-Japanese pirates (Liaoning), 1406",,2,,,1406,1,,1406,1,,12,1,140,,0,0
,"Naples (succession), 1407-12",,2,,,1407,,,1412,,,3,1,140,,,5
,"Holland, 1407-27",,2,,,1407,,,1427,,,3,1,140,,,20
,"Hungary (Sigismund)-Bosnia (Waldenses), 1407",,2,,,1407,,,1407,,,4,1,140,,,0
,"Ava-Mon (Burma), 1407-12",,2,,,1407,,,1412,,,11,1,140,,,5
,"China (Guangxi), 1407",710,2,,10000,1407,6,,1407,10,,12,1,140,,4,0
,"France (Burgundian civil war), 1408-10",,2,,2000,1408,,,1410,,,3,1,140,,,2
Northumberland's Rebellion,"England, 1408",,2,,300,1408,2,29,1408,,,3,1,140,,,0
,"Tartars-Muscovy, 1408",,2,,,1408,,,1408,,,4,1,140,,,0
,"Moguls-Novgorod, 1408",,2,,,1408,,,1408,,,4,1,140,,,0
,"Timurids (revolt in Kirman) (Iran), 1408-13",630,2,,,1408,,,1413,,,5,1,140,,,5
,"Uzbekistan (coup in Samarkand), 1408",,2,,,1408,,,1408,,,9,1,140,,,0
,"Maw Shan-Ava (with Chinese intervention) (Burma), 1408-12",,3,,,1408,,,1412,,,11,1,140,,,4
,"China (Yunnan), 1408-09",710,2,,,1408,8,,1409,11,,12,1,140,,15,1
,"France (Genoa), 1409",,2,,,1409,,,1409,,,3,1,140,,,0
,"Aragon (Catalonia), 1409-13",,2,,,1409,,,1413,,,3,1,140,,,4
,"Hungary (Sigismund)-Venice, 1409",,2,,,1409,,,1409,,,3,1,140,,,0
Great Northern War,"(Poland-Lithuania)-Teutonic Order, 1409-11",,3,,2300,1409,,,1411,2,1,4,1,140,,,2
,"Norway, Sweden, Denmark-Holstein, Hanseatic League, 1409-35",,5,,,1409,,,1435,7,17,3,1,140,,,26
,"China (Ming)-Mongols (Mongolia), 1409-24",,2,,100000,1409,7,,1424,7,,9,1,140,,180,15
,"China-Japanese pirates (Zhejiang), 1409",,2,,,1409,3,,1409,3,,12,1,140,,0,0
,"China-Japanese pirates (Guangdong), 1409",,2,,,1409,4,,1409,4,,12,1,140,,0,0
,"Aragon (Spain), 1410",,2,,,1410,,,1410,,,3,1,141,,,0
,"Sicily (succession), 1410-12",,2,,,1410,,,1412,,,3,1,141,,,2
,"Hafsids-Zayyanids (Algeria), 1410",,2,,,1410,,,1410,,,6,1,141,,,0
,"Mongols-China (Yellow River), 1410",710,2,,,1410,,,1410,,,12,1,141,,,0
,"China (Hui in Gansu), 1410",710,2,,,1410,5,,1410,5,,12,1,141,,0,0
,"China (Hunan), 1410",710,2,,,1410,8,,1410,8,,12,1,141,,0,0
,"China-Japanese pirates (Fujian), 1410",,2,,,1410,1,,1410,1,,12,1,141,,0,0
,"Emperor (Sigismund)-Venice, 1411-12",,2,,,1411,,,1412,,,3,1,141,,,1
Armagnac-Burgundian Civil War,"France (with intervention by England), 1411-13",,2,,,1411,,,1413,5,,3,1,141,,,2
,"China (Guizhou), 1411-14",710,2,,,1411,7,,1414,3,,12,1,141,,32,3
,"China (Xilan), 1411",710,2,,,1411,,,1411,,,12,1,141,,,0
,"China-Rayigama (West Ceylon), 1411",,2,,,1411,,,1411,,,10,1,141,,,0
,"China-Japanese pirates (Guangzhou), 1411",710,,,,1411,2,,1411,2,,12,1,141,,0,0
,"China-Japanese pirates (Zhejiang), 1411",710,,,,1411,5,,1411,5,,12,1,141,,0,0
,"Milan-Lombard cities, Genoa, 1412-20",,3,,,1412,,,1420,,,3,1,141,,,8
,"Brandenburg, 1412-25",,2,,,1412,,,1415,,,3,1,141,,,3
,"England-France (Normandy, Bordeaux), 1412",,4,,,1412,,,1412,,,3,1,141,,,0
,"China (Gansu), 1412-13",710,2,,,1412,,,1413,,,12,1,141,,,1
Cabochian Revolt,"France (Paris), 1413-14",,2,,,1413,,,1414,,,3,1,141,,,1
Lollard rebellion,"England, 1413",,2,,,1413,,,1413,,,3,1,141,,,0
,"Naples-Pope, 1413-14",,2,,,1413,,,1414,,,3,1,141,,,1
,"Turkey-Wallachia, Bosnia, Hungary, Venice, Serbia, 1413-21",,6,,,1413,,,1421,,,4,1,141,,,8
,"(Poland-Lithuania)-Teutonic Order, 1413-22",,3,,6000,1413,,,1422,9,27,4,1,141,,,9
,"China-Japan (Zhejiang), 1413",,2,,,1413,1,,1413,1,,12,1,141,,0,0
,"China (Miao in Guizhou, Sichuan, Hube), 1413",710,2,,,1413,8,,1413,8,,12,1,141,,0,0
,"Spain (Jews), 1414",,2,,,1414,,,1414,,,3,1,141,,,0
,"Ethiopia-Zaila (Somaliland), 1414-15",,2,,,1414,,,1415,,,8,1,141,,,1
,"Mongols (Tartars)-China (Mongolia), 1414-15",,2,,1000,1414,11,,1415,6,,9,1,141,,7,1
,"Delhi-northern India, 1414-21",,2,,,1414,,,1421,,,10,1,141,,,7
,"Punjab (Mongols)-India, 1414",,2,,,1414,,,1414,5,28,10,1,141,,,0
,"Ava-Pegu (Burma), 1414",,2,,,1414,,,1414,,,11,1,141,,,0
,"China-Ava, 1414",,2,,,1414,,,1414,,,11,1,141,,,0
,"China-Indonesia, 1414",,2,,,1414,,,1414,,,11,1,141,,,0
,"China (Sichuan), 1414",710,2,,,1414,7,,1414,7,,12,1,141,,0,0
,"France (Burgundy), 1415-35",,2,,,1415,8,,1435,9,21,3,1,141,,241,20
,"Emperor, Swiss Confederation-Austria (Aargau), 1415",,3,,,1415,,,1415,,,3,1,141,,,0
Phase 3 of Hundred Years War,"England-France, 1415-44",,2,,77000,1415,8,10,1444,,,3,1,141,,,29
,"Moors (revolt in Mahgreb), 1415",,2,,,1415,,,1415,,,6,1,141,,,0
,"Ethiopia-Ifat (Djibouti), 1415",,2,,,1415,,,1415,,,8,1,141,,,0
,"Portugal-Marinid Caliphate?(Ceuta), 1415",,2,,,1415,,,1415,7,24,6,1,141,,,0
,"China (Guangxi), 1415",710,2,,,1415,3,,1415,3,,12,1,141,,0,0
,"Tartars-Muscovy, 1416",,2,,,1416,,,1416,,,4,1,141,,,0
,"Venice-Turkey, 1416",,2,,,1416,,,1416,,,3,1,141,,,0
,"Japan (Kamagura bakufu vs governors (Kanto), 1416-17",740,3,,100,1416,12,2,1417,1,10,12,1,141,38,1,1
,"China (peasants in Shanxi), 1416",710,2,,135,1416,,,1416,,,12,1,141,,,0
,"China (Yunan), 1417",710,2,,,1417,,,1417,,,12,1,141,,,0
,"Burgundy (civil disturbance), 1418",,2,,,1418,,,1418,,,3,1,141,,,0
,"Portugal-Madeira, 1418",,2,,,1418,,,1418,,,3,1,141,,,0
,"China-Japanese pirates (Zhejing), 1418",,2,,,1414,,,1418,,,12,1,141,,,4
,"China (Yunnan and Lao), 1418-27",710,2,,,1418,1,,1427,9,,12,1,141,,116,9
,"Sweden, Norway-Muscovy (Novgorod), 1419",,3,,,1419,,,1419,,,4,1,141,,,0
,"Emperor (Sigismund)-Venice, 1419-31",,2,,,1419,,,1431,,,3,1,141,,,12
Hussite Wars,"Bohemia (Hussites, with intervention by Germany and others), 1419-34",,4,,23400,1419,6,30,1434,5,30,4,1,141,5370,179,15
,"Korea-Japanese pirates (Tsushima Island or Nagasaki), 1419",,,,2623,1419,6,20,1419,7,,12,1,141,,1,0
,"China-Japanese pirates (Liaoning), 1419",,2,,1000,1419,6,,1419,6,,12,1,141,,0,0
,"Pope-Papal States, 1420-26",,2,,,1420,,,1426,,,3,1,142,,,6
,"Genoa-Aragon, 1420",,2,,,1420,,,1420,,,3,1,142,,,0
,"Naples (succession, Anjou and Aragon), 1420-24",,2,,,1420,,,1424,,,3,1,142,,,4
,"Bahmanis-Vijayanagar (India), 1420",,2,,,1420,,,1420,,,10,1,142,,,0
,"Shiban Khanate-Siber Khanate (Uzbekistan), 1420",,2,,,1420,,,1420,,,9,1,142,,,0
,"China (peasants in Shandong), 1420",,2,,,1420,2,,1420,2,,12,1,142,,0,0
,"Genoa-Milan, 1421",,2,,,1421,,,1421,,,3,1,142,,,0
,"Turkey (succession), 1421",,,,,1421,,,1421,,,4,1,142,,,0
,"China (Guangxi), 1421",710,2,,,1421,2,,1421,2,,12,1,142,,0,0
Siege of Constantinople,"Turkey-Byzantium, 1422",,2,,,1422,,,1422,,,4,1,142,,,0
,"Swiss Confederation-Milan, 1422-26",,2,,,1422,,,1426,,,3,1,142,,,4
,"Ethiopia-Ifat (Djibouti), 1422",,2,,,1422,,,1422,,,8,1,142,,,0
,"China-Tartars (Inner Mongolia, Shanxi, Hebei), 1422-23",,2,,,1422,7,,1423,7,,12,1,142,,12,1
,"China-Japanese pirates (Zhejiang), 1422",,2,,,1422,4,,1422,4,,12,1,142,,0,0
,"Milan-Florence, Venice (from 1425), 1423-26",,3,,,1423,,,1426,12,30,3,1,142,,,3
Bohemian Civil War,"Bohemia, 1423-24",,,,,1423,4,27,1424,6,7,3,1,142,400,14,1
,"Egypt-Cyprus, 1424-26",,2,,,1424,,,1426,,,4,1,142,,,2
,"Ifat-Jedaya (Djibouti), 1424",,2,,,1424,,,1424,,,8,1,142,,,0
,"China-Tartars (Inner Mongolia), 1424",,2,,,1424,4,,1424,4,,12,1,142,,0,0
,"China (Guangxi), 1424",710,2,,,1424,8,,1424,8,,12,1,142,,0,0
,"Portugal-Canary Islands, 1425",,2,,,1425,,,1425,,,3,1,142,,,0
,"Muscovy (succession), 1425-40",,,,,1425,,,1440,,,4,1,142,,,15
,"Turkey, 1425",,,,,1425,,,1425,,,4,1,142,,,0
,"China (Qinghai), 1425",710,2,,480,1425,,,1425,,,12,1,142,,,0
,"Novgorod, Pskov-Lithuania, 1426-28",,3,,4800,1426,,,1428,,,4,1,142,,,2
,"Burmese-Ava, 1426",,2,,,1426,,,1426,,,11,1,142,,,0
,"China (Shangdong), 1426",710,2,,,1426,8,,1426,8,,12,1,142,,0,0
,"Milan-Florence, Venice, 1427-28",,3,,,1427,,,1428,4,19,3,1,142,,,1
,"China (Songpan in Sichuan), 1427-28",710,2,,,1427,7,,1428,1,,12,1,142,,6,1
,"China-Tartars (Inner Mongolia), 1427",,2,,,1427,7,,1427,7,,12,1,142,,0,0
,"Ethiopia-Sidama (Ethiopia?), 1428",,2,,,1428,,,1428,,,8,1,142,,,0
,"China (Guangxi), 1428-30",710,2,,10380,1428,12,,1430,11,,12,1,142,,23,2
,"Turkey-Serbia, Greece,  Hungary, 1429-40",,4,,,1429,,,1440,,,4,1,142,,,11
,"China-Tartars (Inner Mongolia, Hebei), 1429",,2,,,1429,6,,1429,6,,12,1,142,,0,0
,"Turkey-Venice, 1430",,2,,,1430,,,1430,,,3,1,143,,,0
,"Liege (with intervention by Burgundy), 1430",,3,,,1430,,,1430,,,3,1,143,,,0
,"Castile-Granada (Moors), 1430-31",,2,,,1430,,,1431,,,3,1,143,,,1
,"Florence, Venice-Lucca, Milan, 1430-33",,4,,,1430,12,2,1433,,,3,1,143,,,3
,"Arakan, Ganesas-Ava (Burma), 1430",,3,,,1430,,,1430,,,11,1,143,,,0
Battle of Liaodong,"China (Liaodong), 1430",710,2,,,1430,1,,1430,1,,12,1,143,,0,0
,"China (Qinghai), 1430",710,2,,,1430,6,,1430,12,,12,1,143,,6,0
,"Turkey-Albania, Kraina, Wallachia, 1431",,4,,,1431,,,1431,,,4,1,143,,,0
,"Anjou-Lorraine, 1431",,2,,,1431,,,1431,,,3,1,143,,,0
,"Poland-Lithuanian Russia (Volynia), 1431",,2,,,1431,,,1431,,,4,1,143,,,0
,"India-Cambodia, 1431",,2,,,1431,,,1431,,,11,1,143,,,0
,"Lithuanian Russia, 1433-39",,2,,,1433,,,1439,,,4,1,143,,,6
,"Galicia-Muscovy, 1433-52",,2,,,1433,,,1452,,,4,1,143,,,19
,"Egypt-Syria, 1433",,2,,,1433,,,1433,,,5,1,143,,,0
,"Tuaregs-Songhai (Timbuktu in Mali), 1433",,4,,,1433,,,1433,,,7,1,143,,,0
,"China (Guizhou), 1433",710,2,,800,1433,,,1433,,,12,1,143,,,0
,"China (Guangxi, Sichuan), 1433-35",710,2,,,1433,1,,1435,12,,12,1,143,,35,2
Battle of Liaozhou,"China-Tartars (Gansu), 1433",,2,,,1433,9,,1433,9,,12,1,143,,0,0
,"Milan, emperor-Florence, Venice, pope, 1434-41",,5,,,1434,,,1441,,,3,1,143,,,7
Lithuanian Revolt,"Teutonic Order-(Poland-Lithuania), 1434-35",,2,,8000,1434,,,1435,,,4,1,143,,,1
,"Denmark (peasants in Sweden and Norway), 1434-39",,3,,,1434,,,1439,,,3,1,143,,,5
,"Portugal-Marinid Caliphate?(Morocco, Cape Bojador?), 1434",,2,,,1434,,,1434,,,6,1,143,,,0
,"Ethiopia-Adal (Somaliland), 1434",,2,,,1434,,,1434,,,8,1,143,,,0
,"China (peasants in Jiangxi), 1434-35",710,2,,,1434,,,1435,,,12,1,143,,,1
,"Naples (succession, Anjou and Aragon, with intervention by Genoa and pope), 1435-42",,4,,,1435,,,1442,,,3,1,143,,,7
,"Genoa-Aragon, 1435-42",,2,,,1435,,,1442,,,3,1,143,,,7
,"China-Tartars (Gansu), 1435-36",,2,,140,1435,12,,1436,8,,12,1,143,,8,1
,"Burgundy (Ghent and Bruges), 1436-40",,3,,,1436,,,1440,,,3,1,143,,,4
,"Swiss Confederation (Zurich), 1436-50",,2,,,1436,,,1450,,,3,1,143,,,14
,"China (peasants in Guangxi, Hunan, Hubei), 1436",710,2,,,1436,12,,1436,12,,12,1,143,,0,0
,"Hungary (peasants), 1437",,2,,,1437,,,1437,,,4,1,143,,,0
,"Hungary-Turkey, 1437-38",,2,,,1437,,,1438,,,4,1,143,,,1
,"Portugal-Tangier, 1437",,2,,,1437,,,1437,10,16,6,1,143,,,0
,"Golden Horde-Russia, 1437-39",,2,,,1437,,,1439,,,4,1,143,,,2
,"Bohemia (succession), 1438-39",,2,,,1438,,,1439,,,3,1,143,,,1
,"Japan (Shogun, governor-Mochiuji) (Gunma ken), 1438-39",740,3,,32,1438,8,14,1439,2,10,12,1,143,176,6,1
Battle of Luchuan,"China (Yunnan), 1438",710,2,,,1438,,,1438,,,12,1,143,,,0
,"China (Miao in Guizhou), 1439",710,2,,,1439,2,,1439,2,,12,1,143,,0,0
,"China (Shanchahe), 1439",710,2,,,1439,9,,1439,9,,12,1,143,,0,0
,"China (Sichuan), 1439-40",710,2,,,1439,12,,1440,4,,12,1,143,,4,1
,"China-Japanese pirates, 1439",,2,,100,1439,4,,1439,4,,12,1,143,,0,0
The Praguerie,"France (nobles), 1440",,2,,,1440,2,,1440,4,,3,1,144,,2,0
,"Hungary (succession), 1440-42",,2,,,1440,,,1442,,,4,1,144,,,2
,"China (Yunnan), 1440-1445",710,2,,3000,1440,1,,1445,1,,12,1,144,,60,5
,"Japan (governor-governor) (Ibaragi ken), 1440-41",740,2,,,1440,3,4,1441,4,16,12,1,144,402,13,1
,"Mexico (Maya), 1441",,2,,,1441,,,1441,,,1,1,144,,,0
,"Castile (nobles), 1441-50",,2,,,1441,,,1450,,,3,1,144,,,9
,"Japan (shogun, govt army-governor) (Kyoto, Hyogo ken), 1441",740,3,,,1441,6,24,1441,9,10,12,1,144,76,3,0
,"Sforza, Venice, Florence-pope, Naples, Milan, 1442-47",,6,,,1442,,,1447,,,3,1,144,,,5
?,"Hungary, (Poland-Lithuania), pope-Turkey, 1442-48",,4,,45000,1442,,,1448,10,19,4,1,144,,,6
,"Emperor-Swiss Confederation, 1442-46",,2,,,1442,,,1446,6,12,3,1,144,,,4
,"China-Japanese pirates (Zhejiang), 1442",,2,,100,1442,5,,1442,5,,12,1,144,,0,0
,"China (Liaoning), 1442",710,2,,,1442,1,,1442,1,,12,1,144,,0,0
,"Saxony (Wettin family dispute), 1443-51",,2,,,1443,,,1451,,,3,1,144,,,8
Revolt of Count of Armagnac,"France (Armagnac), 1443",,2,,,1443,,,1443,,,3,1,144,,,0
,"Albanians-Turkey, 1443-61",,2,,,1443,,,1461,,,4,1,144,,,18
,"Turkey-Venice, 1443-53",,2,,,1443,,,1453,,,3,1,144,,,10
,"China (Japanese minority in Zhejing), 1443",710,2,,,1443,,,1443,,,12,1,144,,,0
Battle of St. Jakob,"France-Swiss, 1444",,2,,,1444,,,1444,10,21,3,1,144,,,0
,"Turkey-Greece-Hungary (Bulgaria), 1444",,3,,1000,1444,11,,1444,11,,4,1,144,,0,0
,"Golden Horde-Russia, 1444-45",,2,,,1444,,,1445,7,7,4,1,144,,,1
,"China (Hebei, Liaoning), 1444",710,2,,,1444,1,,1441,1,,12,1,144,,-36,-3
,"Muscovy-Lithuania, 1445",,2,,1600,1445,,,1445,,,4,1,144,,,0
,"Ethiopia-Mogadishu, Adal (Somalia), 1445",,3,,,1445,,,1445,,,8,1,144,,,0
,"China (Xinjiang), 1445",710,2,,,1445,,,1445,,,12,1,144,,,0
,"Cologne-Westphalian towns, 1446-48",,2,,,1446,,,1448,,,3,1,144,,,2
,"Muscovy (succession), 1446-54",,2,,,1446,,,1454,,,4,1,144,,,8
,"Sweden, Norway-Muscovy (Novgorod), 1446",,3,,,1446,,,1446,,,4,1,144,,,0
,"Muscovy (Novgorod)-Ugrians, 1446",,2,,80,1446,,,1446,,,4,1,144,,,0
,"Turkey-Morea (Greece), 1446",,2,,,1446,,,1446,,,4,1,144,,,0
,"Hungary-emperor (Austria), 1446",,2,,,1446,,,1446,,,4,1,144,,,0
,"China (Zhejiang, Fujian, Jiangxi), 1446",710,2,,,1446,3,,1446,3,,12,1,144,,0,0
,"China (Yao) (Guangdong?), 1446",710,2,,,1446,9,,1446,9,,12,1,144,,0,0
,"China-Japanese pirates (Zhejiang), 1446",,2,,,1446,4,,1446,4,,12,1,144,,0,0
,"Milan (succession, with intervention by Venice, Naples), 1447-50",,4,,,1447,,,1450,,,3,1,144,,,3
,"Muscovy-Tartars, 1447",,2,,,1447,,,1447,,,4,1,144,,,0
,"Bohemia (religious), 1448-51",,2,,,1448,,,1451,,,3,1,144,,,3
,"Burgundy (Ghent), 1448-53",,2,,,1448,,,1453,,,3,1,144,,,5
,"Albania-Turkey, 1448",,2,,,1448,,,1448,,,4,1,144,,,0
,"China (peasants in Fujian, Zhejiang), 1448-1449",,3,,,1448,4,,1449,5,,12,1,144,,13,1
,"Navarre (succession), 1449-52",,2,,,1449,,,1452,,,3,1,144,,,3
,"Brandenburg-Franconian towns, 1449-50",,2,,,1449,,,1450,,,3,1,144,,,1
,"Hungary-Turkey (Serbia), 1449",,2,,,1449,,,1449,,,4,1,144,,,0
,"Mongols-China, 1449-52",,2,,,1449,8,,1452,,,12,1,144,,,3
End Phase of Hundred Years War,"England-France, 1449-53",,2,,12500,1449,3,24,1453,7,17,3,1,144,1553,52,4
,"Tartars-Muscovy, 1449-51",,2,,,1449,,,1451,,,4,1,144,,,2
,"Afghanistan (coup in Herat), 1449",,2,,,1449,,,1449,,,10,1,144,,,0
Battle of Tumubao,"China (Ming)-Mongolia (Liaoning to Gansu), 1449-50",,2,,65000,1449,1,,1450,3,,12,1,144,,14,1
,"China (Yao in Guangdong), 1449",710,2,,,1449,12,,1449,12,,12,1,144,,0,0
,"China (Shanxi), 1449-50",710,2,,,1449,6,,1450,6,,12,1,144,,12,1
,"China (Yunnan and Burma), 1449",710,2,,,1449,2,,1449,2,,12,1,144,,0,0
Revolt of Guizhou,"China (Miao in Hunan and Guizhou), 1449-53",710,2,,1000,1449,3,,1453,2,,12,1,144,,47,4
Cade's Rebellion,"England (Cade's rebellion), 1450",,2,,,1450,6,,1450,7,,3,1,145,,1,0
,"Spain-Portugal (Canary Islands), 1450-53",,2,,,1450,,,1453,,,6,1,145,,,3
,"Albania-Turkey, 1450",,2,,,1450,,,1450,,,4,1,145,,,0
,"Muscovy (Shemyaka), 1450-53",,2,,,1450,,,1453,,,4,1,145,,,3
,"Benin-Oyo (Ijebu in Nigeria), 1450",,2,,,1450,,,1450,,,7,1,145,,,0
,"China (Zhejiang), 1450-51",710,2,,,1450,5,,1451,8,,12,1,145,,15,1
,"China (Hebei), 1450",710,2,,,1450,5,,1450,5,,12,1,145,,0,0
,"Denmark (Sweden, Norway), 1451-57",,2,,,1451,,,1457,,,3,1,145,,,6
,"Austria, 1451",,2,,,1451,,,1451,,,4,1,145,,,0
,"Hungary, 1451",,2,,,1451,,,1451,,,4,1,145,,,0
,"Afghanistan (Lodis)-India (Delhi), 1451",,2,,,1451,,,1451,,,10,1,145,,,0
,"Byzantium (Constantinople), 1452",,,,,1452,,,1452,,,4,1,145,,,0
,"Turkey-Byzantium, 1452-53",,2,,,1452,,,1453,6,1,4,1,145,,,1
,"Burgundy-Ghent, 1452-53",,2,,,1452,,,1453,,,3,1,145,,,1
,"Milan, Genoa, Florence, Bologna, Mantua-Venice, Naples, Siena, 1452-54",,8,,,1452,,,1454,,,3,1,145,,,2
,"Black Sheep Turkomans-Kirmans (east Iran), 1452",,2,,,1452,,,1452,,,5,1,145,,,0
,"China (minority group and Tartars in Liaoning), 1453",710,3,,,1453,1,,1453,1,,12,1,145,,0,0
,"Prussian League, (Poland-Lithuania)-Teutonic Order, 1454-66",,3,,10400,1454,2,,1466,10,19,4,1,145,,152,12
,"Turkey-Hungary, 1454-56",,2,,3000,1454,,,1456,8,,4,1,145,,,2
,"Turkey-Serbia, 1454-59",,2,,,1454,,,1459,,,4,1,145,,,5
,"Uzbeks-Persia, 1454-60",,2,,,1454,,,1460,,,9,1,145,,,6
,"China (Miao in Sichuan), 1454",710,2,,7000,1454,4,,1454,4,,12,1,145,,0,0
,"Muscovy-Novgorod, 1455-56",,2,,,1455,,,1456,,,4,1,145,,,1
,"Castile-Granada, 1455-57",,2,,,1455,,,1457,,,3,1,145,,,2
Wars of the Roses,"England (dynastic, nobles), 1455-85",,2,,19500,1455,5,22,1485,8,22,3,1,145,10890,363,30
part of Wars of the Roses,"England, 1455",,2,,,1455,5,22,1455,5,22,3,1,145,0,0,0
,"Turkey-Rhodes (Ionic Knights), 1455",,2,,,1455,,,1455,,,4,1,145,,,0
,"Muscovy-Tatars, 1455-61",,2,,,1455,,,1461,,,4,1,145,,,6
